Chave;Summary;Status;Components;Sprint
PEFA-9869;Funcional - 19.1.1 Faturamento e Extrato – Faturamento e Emissão de Extrato de Fatura;Done;Funcional;PEFA Faturamento Sprint 2
PEFA-9868;Funcional - 19.1.2 Faturamento e Extrato – Download de arquivos de registro de boleto e retorno Pagamentos;Done;Funcional;PEFA Faturamento Sprint 2
PEFA-9867;Funcional - 19.1.3 Faturamento e Extrato – Upload de arquivo de retorno de registro de boleto e Pagamentos;Done;Funcional;PEFA Faturamento Sprint 2
PEFA-9866;Funcional - 19.5 Faturamento e Extrato – Tratamento de Inconsistências de Faturamento;Done;Funcional;PEFA Faturamento Sprint 2
PEFA-9865;Funcional - 19.1.4 Faturamento e Extrato – Download do Arquivo de Fatura;Done;Funcional;PEFA Faturamento Sprint 2
PEFA-9864;Funcional - 19.2.1 Faturamento e Extrato – Consulta de Fatura;Active;Funcional;PEFA Faturamento Sprint 2;PEFA Monetary Sprint 4
PEFA-9863;Funcional - 19.2.2 Faturamento e Extrato – Solicitação de Segunda Via de Fatura;Active;Funcional;PEFA Faturamento Sprint 2;PEFA Monetary Sprint 4
PEFA-9862;Funcional - 20.1.1 Pagamento de fatura - Postagem de pagamento de fatura, amortização de pagamentos e hierarquia de transações;Active;Funcional;PEFA Faturamento Sprint 2;PEFA Monetary Sprint 4
PEFA-5457;Funcional -20.2 Pagamento de fatura - Estorno de postagem de pagamento de fatura>R1;Active;Funcional;PEFA Faturamento Sprint 2;PEFA Monetary Sprint 4
PEFA-5420;Funcional -19.3 Faturamento e Extrato – Consulta para Melhor dia de Compras>R0;Active;Funcional;PEFA Faturamento Sprint 2;PEFA Monetary Sprint 4
PEFA-5418;Funcional -19.4 Faturamento e Extrato – Cash in Conta Digital Por Boleto - Geração e Pagamento>R0;Active;Funcional;PEFA Faturamento Sprint 2;PEFA Monetary Sprint 4
PEFA-13557;Preenchimento dos parâmetros de Programas ;New;Funcional;PEFA Monetary Sprint 3
